pollinator_id,consp_grains,plant_sp
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,4,MF
BOM,0,MF
BOM,0,MF
BOM,4,MF
BOM,1,MF
BOM,0,MF
BOM,1,MF
BOM,0,MF
BOM,1,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,4,MF
BOM,0,MF
BOM,0,MF
BOM,1,MF
BOM,1,MF
BOM,1,MF
BOM,0,MF
BOM,1,MF
BOM,2,MF
BOM,1,MF
BOM,0,MF
BOM,0,MF
BOM,1,MF
BOM,1,MF
BOM,1,MF
BOM,0,MF
BOM,4,MF
BOM,0,MF
BOM,1,MF
BOM,1,MF
BOM,0,MF
BOM,0,MF
BOM,5,MF
BOM,0,MF
BOM,0,MF
BOM,1,MF
BOM,1,MF
BOM,1,MF
BOM,2,MF
BOM,0,MF
BOM,0,MF
BOM,1,MF
BOM,1,MF
BOM,0,MF
BOM,0,MF
BOM,7,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,7,MF
BOM,4,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,1,MF
BOM,5,MF
BOM,0,MF
BOM,2,MF
BOM,0,MF
BOM,16,MF
BOM,0,MF
BOM,0,MF
BOM,2,MF
BOM,2,MF
BOM,5,MF
BOM,2,MF
BOM,0,MF
BOM,5,MF
BOM,0,MF
BOM,1,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,1,MF
BOM,0,MF
BOM,0,MF
BOM,2,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,29,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,1,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,1,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,22,MF
BOM,0,MF
BOM,1,MF
BOM,0,MF
BOM,7,MF
BOM,1,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,23,MF
BOM,1,MF
BOM,2,MF
BOM,0,MF
BOM,12,MF
BOM,23,MF
BOM,16,MF
BOM,0,MF
BOM,0,MF
BOM,1,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,1,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,5,MF
BOM,4,MF
BOM,3,MF
BOM,0,MF
BOM,3,MF
BOM,8,MF
BOM,1,MF
BOM,6,MF
BOM,6,MF
BOM,1,MF
BOM,10,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,15,MF
BOM,5,MF
BOM,7,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,3,MF
BOM,2,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,17,MF
BOM,0,MF
BOM,0,MF
BOM,2,MF
BOM,6,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,1,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,1,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,28,MF
BOM,0,MF
BOM,3,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,3,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,1,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,1,MF
BOM,3,MF
BOM,1,MF
BOM,7,MF
BOM,3,MF
BOM,0,MF
BOM,2,MF
BOM,0,MF
BOM,1,MF
BOM,2,MF
BOM,15,MF
BOM,23,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,1,MF
BOM,0,MF
BOM,2,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,6,MF
BOM,1,MF
BOM,12,MF
BOM,1,MF
BOM,0,MF
BOM,33,MF
BOM,4,MF
BOM,3,MF
BOM,0,MF
BOM,26,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,1,MF
BOM,0,MF
BOM,1,MF
BOM,1,MF
BOM,1,MF
BOM,1,MF
BOM,2,MF
BOM,0,MF
BOM,0,MF
BOM,7,MF
BOM,1,MF
BOM,0,MF
BOM,5,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,7,MF
BOM,0,MF
BOM,6,MF
BOM,0,MF
BOM,9,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,1,MF
BOM,0,MF
BOM,0,MF
BOM,1,MF
BOM,2,MF
BOM,0,MF
BOM,0,MF
BOM,1,MF
BOM,1,MF
BOM,1,MF
BOM,9,MF
BOM,2,MF
BOM,1,MF
BOM,7,MF
BOM,17,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,1,MF
BOM,2,MF
BOM,14,MF
BOM,4,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,2,MF
BOM,0,MF
BOM,30,MF
BOM,0,MF
BOM,24,MF
BOM,8,MF
BOM,5,MF
BOM,0,MF
BOM,24,MF
BOM,2,MF
BOM,1,MF
BOM,0,MF
BOM,0,MF
BOM,47,MF
BOM,0,MF
BOM,4,MF
BOM,4,MF
BOM,16,MF
BOM,23,MF
BOM,2,MF
BOM,3,MF
BOM,9,MF
BOM,6,MF
BOM,6,MF
BOM,1,MF
BOM,6,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,7,MF
BOM,14,MF
BOM,9,MF
BOM,15,MF
BOM,0,MF
BOM,2,MF
BOM,8,MF
BOM,2,MF
BOM,29,MF
BOM,10,MF
BOM,9,MF
BOM,24,MF
BOM,14,MF
BOM,1,MF
BOM,37,MF
BOM,3,MF
BOM,9,MF
BOM,0,MF
BOM,12,MF
BOM,12,MF
BOM,7,MF
BOM,1,MF
BOM,0,MF
BOM,0,MF
BOM,6,MF
BOM,3,MF
BOM,5,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,6,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,1,MF
BOM,0,MF
BOM,6,MF
BOM,0,MF
BOM,0,MF
BOM,1,MF
BOM,6,MF
BOM,1,MF
BOM,3,MF
BOM,2,MF
BOM,0,MF
BOM,0,MF
BOM,2,MF
BOM,2,MF
BOM,1,MF
BOM,1,MF
BOM,1,MF
BOM,8,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,3,MF
BOM,1,MF
BOM,2,MF
BOM,1,MF
BOM,21,MF
BOM,23,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,6,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,5,MF
BOM,2,MF
BOM,0,MF
BOM,1,MF
BOM,1,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,1,MF
BOM,10,MF
BOM,1,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,0,MF
BOM,26,MF
BOM,0,MF
BOM,1,MF
BOM,2,MF
BOM,1,MF
BOM,0,MF
BOM,6,MF
BOM,0,MF
BOM,7,MF
BOM,13,MF
BOM,10,MF
BOM,6,MF
BOM,1,MF
BOM,0,MF
BOM,4,MF
BOM,2,MF
BOM,2,MF
BOM,9,MF
BOM,38,MF
BOM,4,MF
BOM,7,MF
BOM,21,MF
BOM,2,MF
BOM,1,MF
BOM,0,MF
BOM,1,MF
BOM,0,MF
BOM,2,MF
BOM,3,MF
BOM,5,MF
BOM,0,MF
BOM,2,MF
BOM,2,MF
BOM,0,MF
BOM,0,MF
BOM,3,MF
BOM,18,MF
BOM,8,MF
BOM,0,MF
BOM,5,MF
BOM,5,MF
BOM,3,MF
BOM,9,MF
BOM,0,MF
BOM,3,MF
BOM,0,MF
BOM,0,MF
